source,target,edge_type,weight,timestamp
u_50145,u_50151,transaction,1809.9734844407913,1700000078.1098073
u_1662,u_83,transaction,606.4893905539172,1700000354.2993698
u_34109,u_7965,transaction,663.6686348906793,1700000379.6880007
u_51257,u_51264,transaction,254.80345689803784,1700000542.9853764
u_3826,u_7512,transaction,1187.0638762175429,1700000921.9374077
u_552,u_20,transaction,2306.4736464019174,1700000952.694959
u_43576,u_10169,transaction,863.480523450448,1700001906.8734324
u_41760,u_28897,transaction,950.723826490094,1700002157.8009388
u_10344,u_29589,transaction,227.8352592544487,1700002230.131298
u_43274,u_19161,transaction,1530.2482548586424,1700002592.8589504
u_6272,u_7604,transaction,159.74965433446587,1700002750.5580277
u_1673,u_7299,transaction,2297.616403509745,1700002930.6921892
u_310,u_13269,transaction,2526.162899607865,1700002946.2784739
u_4943,u_40439,transaction,3962.396460088501,1700003254.83413
u_49516,u_12988,transaction,805.1560479956634,1700003400.224943
u_35290,u_14519,transaction,691.7471106272101,1700003496.1640065
u_50115,u_50125,transaction,1183.0679336807727,1700003686.5614607
u_22226,u_4677,transaction,208.08938023562874,1700003836.7010317
u_50175,u_50179,transaction,3604.5751474529065,1700003934.1458254
u_32898,u_20075,transaction,4794.384142743787,1700004745.2733195
u_25423,u_24188,transaction,842.786695572672,1700005333.4696972
u_47136,u_32723,transaction,811.1657494729717,1700005867.1214578
u_323,u_676,transaction,2631.6326081803327,1700006124.6789725
u_135,u_6148,transaction,2276.992674225319,1700006170.6307204
u_4541,u_709,transaction,723.2884350053845,1700006276.035963
u_19648,u_8660,transaction,563.8554926905673,1700006301.2145755
u_4565,u_13363,transaction,1820.3787167676546,1700006424.973705
u_3200,u_13560,transaction,3404.7671031455716,1700006441.545957
u_46655,u_44523,transaction,2050.597576890803,1700006447.2655342
u_12803,u_641,transaction,2593.4796693022045,1700006622.810082
u_134,u_1656,transaction,715.2463253223334,1700006892.9496813
u_42860,u_1638,transaction,9078.926784396495,1700006939.8869243
u_47615,u_20287,transaction,589.6812172084386,1700007066.0289478
u_304,u_731,transaction,19327.55932811105,1700007323.844179
u_10044,u_45533,transaction,740.4267378257207,1700007387.1604822
u_34274,u_141,transaction,470.65675789233467,1700007560.315116
u_43218,u_7379,transaction,1241.4265248657505,1700008217.4020116
u_12902,u_5430,transaction,1206.6919962634943,1700008580.874811
u_50238,u_50241,transaction,1091.6230953170052,1700008739.0075626
u_11698,u_29517,transaction,646.9861314274622,1700009074.0362935
u_47869,u_43925,transaction,1380.2888987683639,1700009281.2441075
u_28320,u_40128,transaction,1387.7709436994164,1700009371.0926068
u_2196,u_3241,transaction,4059.92292892711,1700009677.5948124
u_50385,u_50390,transaction,2547.2163802594887,1700009851.5034027
u_48309,u_32806,transaction,3446.848402319911,1700009855.2539213
u_50357,u_50362,transaction,2535.4055889835754,1700009985.3274455
u_13309,u_1211,transaction,5072.828215952626,1700009993.8254561
u_524,u_11113,transaction,266.6507979155667,1700010553.576089
u_34084,u_24208,transaction,2472.8636734297775,1700010626.2088246
u_22643,u_4286,transaction,815.6096433680954,1700010705.653378
u_165,u_4963,transaction,1448.4055305700801,1700011810.128387
u_5481,u_37766,transaction,4295.3561635406995,1700012024.4241836
u_50957,u_50959,transaction,649.6012806399124,1700012388.653591
u_1200,u_3940,transaction,695.6713987754704,1700012563.34099
u_18336,u_44110,transaction,4686.596806982375,1700012569.8353765
u_9833,u_222,transaction,1350.6027458617061,1700012645.7208333
u_28452,u_38025,transaction,596.0054862328906,1700012712.2747786
u_44395,u_2347,transaction,8381.043512736205,1700012712.4189427
u_714,u_3892,transaction,165.49176490816293,1700013682.70272
u_2258,u_19428,transaction,201.1140537856716,1700013803.1812747
u_13225,u_8702,transaction,722.340893398427,1700013911.183531
u_6354,u_4700,transaction,6804.068971962009,1700014091.9108038
u_1,u_8898,transaction,432.3211861162896,1700014259.2231739
u_21880,u_34022,transaction,9312.536716989993,1700014491.451308
u_32735,u_11481,transaction,2433.844102516376,1700014558.9763
u_47284,u_1850,transaction,570.3828024483138,1700014578.1805844
u_45675,u_40728,transaction,3336.8774103219143,1700014599.4133062
u_16518,u_34489,transaction,8000.39468712744,1700014773.627242
u_12153,u_19582,transaction,409.68771882329986,1700015017.4602597
u_25381,u_4106,transaction,1646.4287236430287,1700015166.7700465
u_30452,u_22212,transaction,2356.129032715803,1700015643.5201678
u_45001,u_26905,transaction,3152.4696850965897,1700015846.2034109
u_50354,u_50362,transaction,1480.7637178013026,1700015906.9124815
u_33113,u_3509,transaction,1489.4673640330573,1700015997.5708857
u_33978,u_20325,transaction,3410.865903070147,1700016167.9041715
u_47900,u_22861,transaction,4796.03650237479,1700017242.7808387
u_20318,u_1549,transaction,1810.972062776046,1700017256.7857015
u_44226,u_19432,transaction,1813.5581443362246,1700017540.8359675
u_2475,u_33942,transaction,13935.264358078848,1700017691.7942438
u_45575,u_3156,transaction,1699.0235505607793,1700017781.967377
u_1196,u_18592,transaction,1638.7518312512395,1700017818.5656796
u_24477,u_19302,transaction,1226.0097795128802,1700017850.8715405
u_1703,u_9462,transaction,1540.507527512411,1700018024.6357963
u_253,u_8000,transaction,431.31909917247873,1700018098.7128968
u_7854,u_3998,transaction,3320.755402841868,1700018842.786993
u_1345,u_14523,transaction,6495.505877635147,1700018956.0275023
u_18941,u_31546,transaction,740.4162177576305,1700019066.4622765
u_16353,u_35,transaction,5384.663614962282,1700019645.3605278
u_8913,u_20240,transaction,666.9877717647076,1700019750.1239333
u_2103,u_22551,transaction,8629.041988815217,1700019842.6811213
u_1761,u_601,transaction,790.8589600258821,1700020194.9909577
u_17582,u_6,transaction,2192.1794983485934,1700020357.7541773
u_13,u_1516,transaction,4536.320572927873,1700020390.21668
u_807,u_23827,transaction,7684.3736243619205,1700020780.6031263
u_3291,u_21496,transaction,143.70375373664646,1700020786.613112
u_28864,u_303,transaction,2954.17573439466,1700021300.4357176
u_895,u_34029,transaction,5533.812809015819,1700022412.840104
u_46787,u_39263,transaction,2986.276988438528,1700022642.031655
u_12564,u_21084,transaction,698.4164999554229,1700022912.266469
u_12683,u_18863,transaction,1937.9186254903216,1700022979.557945
u_16737,u_25442,transaction,2611.342772411764,1700023647.7343829
u_41510,u_715,transaction,1646.8392786316642,1700024041.5566063
u_22785,u_2151,transaction,1302.6989935603683,1700024131.3774636
u_23500,u_33023,transaction,2428.9039086122775,1700024341.4934978
u_1498,u_1611,transaction,3335.8032836648313,1700024598.465718
u_33887,u_33659,transaction,40534.8977945132,1700025212.4423459
u_5699,u_36579,transaction,1642.443088223995,1700025326.6078274
u_18259,u_34353,transaction,2474.3256739163776,1700025367.82688
u_20422,u_6211,transaction,304.7142118748543,1700025469.5765722
u_22316,u_14015,transaction,673.1695179789739,1700025530.5185785
u_18614,u_84,transaction,6948.115538153133,1700025709.2739167
u_3593,u_39195,transaction,1002.3527278858296,1700025711.2970476
u_47016,u_25227,transaction,208.24101059353129,1700026034.6547735
u_5876,u_20329,transaction,4036.586720205278,1700026155.1245263
u_44045,u_3277,transaction,1404.2192662064479,1700026186.1201384
u_51220,u_51226,transaction,703.5125706810712,1700026765.3991115
u_50969,u_50979,transaction,935.8943074660355,1700026914.8888006
u_32,u_42434,transaction,5744.548915531713,1700027049.2642417
