resource,user_id,first_used_timestamp
dev_1c92c475,u_50145,1700000078.1098073
ip_88.F.F.F,u_50145,1700000078.1098073
card_59c3f3c9,u_50145,1700000078.1098073
dev_800e10fa,u_1662,1700000354.2993698
ip_211.12.77.243,u_1662,1700000354.2993698
card_e145ecd2,u_1662,1700000354.2993698
dev_78cb0c9d,u_34109,1700000379.6880007
ip_26.40.194.151,u_34109,1700000379.6880007
card_8c4b6286,u_34109,1700000379.6880007
dev_a2bec0d0,u_51257,1700000542.9853764
ip_172.B.B.B,u_51257,1700000542.9853764
card_87531371,u_51257,1700000542.9853764
dev_ce6d87bd,u_3826,1700000921.9374077
ip_175.185.176.133,u_3826,1700000921.9374077
card_db27a8bf,u_3826,1700000921.9374077
dev_6e21fd03,u_552,1700000952.694959
ip_55.40.169.124,u_552,1700000952.694959
card_b5352bf6,u_552,1700000952.694959
dev_78a265d7,u_43576,1700001906.8734324
ip_63.69.9.91,u_43576,1700001906.8734324
card_ba2da209,u_43576,1700001906.8734324
dev_e942c0be,u_41760,1700002157.8009388
ip_203.4.56.226,u_41760,1700002157.8009388
card_0112118c,u_41760,1700002157.8009388
dev_2953cd19,u_10344,1700002230.131298
ip_43.154.243.107,u_10344,1700002230.131298
card_3672f39c,u_10344,1700002230.131298
dev_de62f842,u_43274,1700002592.8589504
ip_211.4.164.106,u_43274,1700002592.8589504
card_208c11cd,u_43274,1700002592.8589504
dev_718a4b7c,u_6272,1700002750.5580277
ip_161.121.180.252,u_6272,1700002750.5580277
card_552018e9,u_6272,1700002750.5580277
dev_12d77d19,u_1673,1700002930.6921892
ip_203.10.97.225,u_1673,1700002930.6921892
card_d057e40f,u_1673,1700002930.6921892
dev_f5d6f584,u_310,1700002946.2784739
ip_138.244.196.177,u_310,1700002946.2784739
card_f4be9d3f,u_310,1700002946.2784739
dev_4c3f4d5e,u_4943,1700003254.83413
ip_147.143.52.51,u_4943,1700003254.83413
card_276614e0,u_4943,1700003254.83413
dev_81ef2f31,u_49516,1700003400.224943
ip_21.12.156.4,u_49516,1700003400.224943
card_327b366f,u_49516,1700003400.224943
dev_14e954a2,u_35290,1700003496.1640065
ip_203.30.6.34,u_35290,1700003496.1640065
card_2b4e59b2,u_35290,1700003496.1640065
dev_adf2191d,u_50115,1700003686.5614607
ip_84.F.F.F,u_50115,1700003686.5614607
card_b696381f,u_50115,1700003686.5614607
dev_500f814b,u_22226,1700003836.7010317
ip_137.16.170.42,u_22226,1700003836.7010317
card_d110e014,u_22226,1700003836.7010317
dev_241bb396,u_50175,1700003934.1458254
ip_41.F.F.F,u_50175,1700003934.1458254
card_5ba668a0,u_50175,1700003934.1458254
dev_fa5b6048,u_32898,1700004745.2733195
ip_97.55.234.191,u_32898,1700004745.2733195
card_021e5446,u_32898,1700004745.2733195
dev_8412a5b5,u_25423,1700005333.4696972
ip_253.194.78.191,u_25423,1700005333.4696972
card_e752482b,u_25423,1700005333.4696972
dev_bb9dac96,u_47136,1700005867.1214578
ip_147.13.205.42,u_47136,1700005867.1214578
card_35e7aaa8,u_47136,1700005867.1214578
dev_e3014740,u_323,1700006124.6789725
ip_48.248.14.65,u_323,1700006124.6789725
card_d76651d9,u_323,1700006124.6789725
dev_7c7fb41c,u_135,1700006170.6307204
ip_241.225.35.68,u_135,1700006170.6307204
card_4e53b0b8,u_135,1700006170.6307204
dev_c17334b4,u_4541,1700006276.035963
ip_65.163.46.22,u_4541,1700006276.035963
card_c1f78e49,u_4541,1700006276.035963
dev_311d4031,u_19648,1700006301.2145755
ip_70.124.153.155,u_19648,1700006301.2145755
card_6927ef18,u_19648,1700006301.2145755
dev_c3de7c26,u_4565,1700006424.973705
ip_220.33.163.116,u_4565,1700006424.973705
card_f43717cb,u_4565,1700006424.973705
dev_526aa65a,u_3200,1700006441.545957
ip_61.77.54.221,u_3200,1700006441.545957
card_86650dbf,u_3200,1700006441.545957
dev_0f3edc30,u_46655,1700006447.2655342
ip_18.24.237.70,u_46655,1700006447.2655342
card_0d1e79c8,u_46655,1700006447.2655342
dev_d8bef913,u_12803,1700006622.810082
ip_19.210.229.169,u_12803,1700006622.810082
card_ae1abcad,u_12803,1700006622.810082
dev_89f7d726,u_134,1700006892.9496813
ip_77.239.170.27,u_134,1700006892.9496813
card_a3e96898,u_134,1700006892.9496813
dev_9e539a47,u_42860,1700006939.8869243
ip_145.37.127.165,u_42860,1700006939.8869243
card_af9db49b,u_42860,1700006939.8869243
dev_29bfc765,u_47615,1700007066.0289478
ip_86.48.196.217,u_47615,1700007066.0289478
card_4ed48eed,u_47615,1700007066.0289478
dev_1c4b2fda,u_304,1700007323.844179
ip_170.149.95.122,u_304,1700007323.844179
card_0f3266b2,u_304,1700007323.844179
dev_48e4f9d0,u_10044,1700007387.1604822
ip_41.90.246.50,u_10044,1700007387.1604822
card_e84adba0,u_10044,1700007387.1604822
