user_id,is_fraud,ring_type,ring_id
u_0,0,none,-1
u_1,0,none,-1
u_2,0,none,-1
u_3,0,none,-1
u_4,0,none,-1
u_5,0,none,-1
u_6,0,none,-1
u_7,0,none,-1
u_8,0,none,-1
u_9,0,none,-1
u_10,0,none,-1
u_11,0,none,-1
u_12,0,none,-1
u_13,0,none,-1
u_14,0,none,-1
u_15,0,none,-1
u_16,0,none,-1
u_17,0,none,-1
u_18,0,none,-1
u_19,0,none,-1
u_20,0,none,-1
u_21,0,none,-1
u_22,0,none,-1
u_23,0,none,-1
u_24,0,none,-1
u_25,0,none,-1
u_26,0,none,-1
u_27,0,none,-1
u_28,0,none,-1
u_29,0,none,-1
u_30,0,none,-1
u_31,0,none,-1
u_32,0,none,-1
u_33,0,none,-1
u_34,0,none,-1
u_35,0,none,-1
u_36,0,none,-1
u_37,0,none,-1
u_38,0,none,-1
u_39,0,none,-1
u_40,0,none,-1
u_41,0,none,-1
u_42,0,none,-1
u_43,0,none,-1
u_44,0,none,-1
u_45,0,none,-1
u_46,0,none,-1
u_47,0,none,-1
u_48,0,none,-1
u_49,0,none,-1
u_50,0,none,-1
u_51,0,none,-1
u_52,0,none,-1
u_53,0,none,-1
u_54,0,none,-1
u_55,0,none,-1
u_56,0,none,-1
u_57,0,none,-1
u_58,0,none,-1
u_59,0,none,-1
u_60,0,none,-1
u_61,0,none,-1
u_62,0,none,-1
u_63,0,none,-1
u_64,0,none,-1
u_65,0,none,-1
u_66,0,none,-1
u_67,0,none,-1
u_68,0,none,-1
u_69,0,none,-1
u_70,0,none,-1
u_71,0,none,-1
u_72,0,none,-1
u_73,0,none,-1
u_74,0,none,-1
u_75,0,none,-1
u_76,0,none,-1
u_77,0,none,-1
u_78,0,none,-1
u_79,0,none,-1
u_80,0,none,-1
u_81,0,none,-1
u_82,0,none,-1
u_83,0,none,-1
u_84,0,none,-1
u_85,0,none,-1
u_86,0,none,-1
u_87,0,none,-1
u_88,0,none,-1
u_89,0,none,-1
u_90,0,none,-1
u_91,0,none,-1
u_92,0,none,-1
u_93,0,none,-1
u_94,0,none,-1
u_95,0,none,-1
u_96,0,none,-1
u_97,0,none,-1
u_98,0,none,-1
u_99,0,none,-1
u_100,0,none,-1
u_101,0,none,-1
u_102,0,none,-1
u_103,0,none,-1
u_104,0,none,-1
u_105,0,none,-1
u_106,0,none,-1
u_107,0,none,-1
u_108,0,none,-1
u_109,0,none,-1
u_110,0,none,-1
u_111,0,none,-1
u_112,0,none,-1
u_113,0,none,-1
u_114,0,none,-1
u_115,0,none,-1
u_116,0,none,-1
u_117,0,none,-1
u_118,0,none,-1
u_119,0,none,-1
u_120,0,none,-1
u_121,0,none,-1
u_122,0,none,-1
u_123,0,none,-1
u_124,0,none,-1
u_125,0,none,-1
u_126,0,none,-1
u_127,0,none,-1
u_128,0,none,-1
u_129,0,none,-1
u_130,0,none,-1
u_131,0,none,-1
u_132,0,none,-1
u_133,0,none,-1
u_134,0,none,-1
u_135,0,none,-1
u_136,0,none,-1
u_137,0,none,-1
u_138,0,none,-1
u_139,0,none,-1
u_140,0,none,-1
u_141,0,none,-1
u_142,0,none,-1
u_143,0,none,-1
u_144,0,none,-1
u_145,0,none,-1
u_146,0,none,-1
u_147,0,none,-1
u_148,0,none,-1
u_149,0,none,-1
u_150,0,none,-1
u_151,0,none,-1
u_152,0,none,-1
u_153,0,none,-1
u_154,0,none,-1
u_155,0,none,-1
u_156,0,none,-1
u_157,0,none,-1
u_158,0,none,-1
u_159,0,none,-1
u_160,0,none,-1
u_161,0,none,-1
u_162,0,none,-1
u_163,0,none,-1
u_164,0,none,-1
u_165,0,none,-1
u_166,0,none,-1
u_167,0,none,-1
u_168,0,none,-1
u_169,0,none,-1
u_170,0,none,-1
u_171,0,none,-1
u_172,0,none,-1
u_173,0,none,-1
u_174,0,none,-1
u_175,0,none,-1
u_176,0,none,-1
u_177,0,none,-1
u_178,0,none,-1
u_179,0,none,-1
u_180,0,none,-1
u_181,0,none,-1
u_182,0,none,-1
u_183,0,none,-1
u_184,0,none,-1
u_185,0,none,-1
u_186,0,none,-1
u_187,0,none,-1
u_188,0,none,-1
u_189,0,none,-1
u_190,0,none,-1
u_191,0,none,-1
u_192,0,none,-1
u_193,0,none,-1
u_194,0,none,-1
u_195,0,none,-1
u_196,0,none,-1
u_197,0,none,-1
u_198,0,none,-1
u_199,0,none,-1
u_200,0,none,-1
u_201,0,none,-1
u_202,0,none,-1
u_203,0,none,-1
u_204,0,none,-1
u_205,0,none,-1
u_206,0,none,-1
u_207,0,none,-1
u_208,0,none,-1
u_209,0,none,-1
u_210,0,none,-1
u_211,0,none,-1
u_212,0,none,-1
u_213,0,none,-1
u_214,0,none,-1
u_215,0,none,-1
u_216,0,none,-1
u_217,0,none,-1
u_218,0,none,-1
u_219,0,none,-1
u_220,0,none,-1
u_221,0,none,-1
u_222,0,none,-1
u_223,0,none,-1
u_224,0,none,-1
u_225,0,none,-1
u_226,0,none,-1
u_227,0,none,-1
u_228,0,none,-1
u_229,0,none,-1
u_230,0,none,-1
u_231,0,none,-1
u_232,0,none,-1
u_233,0,none,-1
u_234,0,none,-1
u_235,0,none,-1
u_236,0,none,-1
u_237,0,none,-1
u_238,0,none,-1
u_239,0,none,-1
u_240,0,none,-1
u_241,0,none,-1
u_242,0,none,-1
u_243,0,none,-1
u_244,0,none,-1
u_245,0,none,-1
u_246,0,none,-1
u_247,0,none,-1
u_248,0,none,-1
u_249,0,none,-1
u_250,0,none,-1
u_251,0,none,-1
u_252,0,none,-1
u_253,0,none,-1
u_254,0,none,-1
u_255,0,none,-1
u_256,0,none,-1
u_257,0,none,-1
u_258,0,none,-1
u_259,0,none,-1
u_260,0,none,-1
u_261,0,none,-1
u_262,0,none,-1
u_263,0,none,-1
u_264,0,none,-1
u_265,0,none,-1
u_266,0,none,-1
u_267,0,none,-1
u_268,0,none,-1
u_269,0,none,-1
u_270,0,none,-1
u_271,0,none,-1
u_272,0,none,-1
u_273,0,none,-1
u_274,0,none,-1
u_275,0,none,-1
u_276,0,none,-1
u_277,0,none,-1
u_278,0,none,-1
u_279,0,none,-1
u_280,0,none,-1
u_281,0,none,-1
u_282,0,none,-1
u_283,0,none,-1
u_284,0,none,-1
u_285,0,none,-1
u_286,0,none,-1
